2013.5,136862,137097
2013.75,137387,138292
2014,138014,137187
2014.25,138843,139824
2014.5,139579,139812
2014.75,140402,141327
2015,140972,140099
2015.25,141724,142717
2015.5,142300,142520
2015.75,143146,144116
2016,143733,142895
2016.25,144175,145239
